source_bloc,word,target_bloc,first_step,total_uses
neutral,rightbar,alpha,1,25
neutral,without,alpha,1,10
beta,distance,alpha,1,10
alpha,step,beta,1,7
alpha,known,beta,1,3
neutral,without,beta,1,19
beta,distance,neutral,1,3
alpha,step,neutral,1,13
alpha,already,neutral,1,16
beta,maintain,alpha,2,12
beta,safer,neutral,2,3
neutral,direct,alpha,3,3
alpha,obstacles,beta,3,1
beta,safer,alpha,4,6
neutral,considering,alpha,4,34
alpha,recent,neutral,4,24
alpha,avoiding,beta,5,6
alpha,considered,neutral,5,3
beta,consistently,alpha,6,13
alpha,try,neutral,6,4
beta,assessment,alpha,7,4
beta,committing,alpha,7,1
beta,threat,alpha,7,4
neutral,getting,alpha,7,1
alpha,leftbar,neutral,7,8
alpha,necessary,neutral,7,2
alpha,lets,beta,9,1
alpha,try,beta,9,1
alpha,already,beta,9,1
alpha,collectively,beta,9,1
alpha,avoids,beta,9,2
beta,concern,neutral,9,1
beta,threat,neutral,9,2
beta,assessment,neutral,10,2
beta,reporting,alpha,11,1
beta,concern,alpha,11,6
alpha,recent,beta,12,52
alpha,per,beta,12,1
neutral,approach,beta,12,1
alpha,avoiding,neutral,12,3
alpha,considered,beta,14,1
beta,maintain,neutral,15,3
alpha,moveright,neutral,16,5
alpha,received,neutral,16,12
neutral,considering,beta,21,2
alpha,known,neutral,22,1
neutral,steps,alpha,24,1
neutral,approach,alpha,25,1
neutral,direct,beta,28,2
